Site,Source,Date,Season,Time,Air Temp (C),cfs,cms,temp,pH,orp,spc,O18,D,D_Ex,Na,Mg,K,Ca,F,Cl,NO2,Br,NO3,Phosphate,Sulphate,Alk,BiCarb
Big,C aqifer,11/12/2017,Winter,13:00,5,0.326699943,0.009251114,,,,,-13.44418864,-97.19035536,10.36315376,2.539155064,22.33937205,1.045798909,40.2512998,0.048786554,2.112410843,0.021883037,0,0.180411644,0.010372575,3.002825211,,
Big,C aqifer,12/18/2017,Winter,9:00,0,0.319999944,0.009061391,8.5,7.48,67.6,361.1,-13.60828825,-97.40358395,11.46272207,2.461661456,22.2472626,0.881265227,45.15437904,0.047205859,1.982062333,0.016953186,,0.207889484,0,3.000422857,,
Big,C aqifer,3/16/2018,Spring,10:55,8,0.270702282,0.007665435,8.7,7.21,,315.2,-13.47322568,-96.91775239,10.86805309,,,,,,,,,,,,,
Big,C aqifer,4/7/2018,Spring,10:30,4,0.264854565,0.007499848,8.9,7.32,,210.9,-13.30734749,-97.97955005,8.479229907,2.162914683,19.64040698,0.524854067,41.32501959,0.058329515,2.052174411,0.076204262,0,0.065259693,0,3.066193534,234,285.48
Big,C aqifer,4/7/2018,Spring,10:30,4,0.264854565,0.007499848,8.9,7.32,,210.9,-13.30734749,-97.97955005,8.479229907,2.212489881,20.83995839,0.522227341,42.32114627,0.05737404,1.998730663,0.051042695,0,0.053839951,0,2.994940984,234,285.48
Big,C aqifer,4/19/2018,Spring,9:00,12,0.310999945,0.008806539,7.41,8.33,159.6,301,-14.11841903,-97.84439484,15.10295737,,,,,,,,,,,,,
Big,C aqifer,5/25/2018,Summer,11:30,20,0.232261626,0.006576918,8.91,6.77,211.4,,-12.95363826,-97.68717525,5.941930867,2.165671774,20.88135451,0.549365363,44.61381704,0.054083366,1.985711191,0,0,0,0,2.940075101,180,219.6
Big,C aqifer,6/25/2018,Summer,16:00,32,0.189102252,0.00535478,9,7.19,223.5,355,-13.30934361,-95.39963843,11.07511046,2.195856517,20.8684831,0.530833204,40.47886626,0.058183928,2.164456359,0.094532339,0,0.134357916,0,3.086069452,230,280.6
Big,C aqifer,7/12/2018,Summer,19:30,18.3,0.34222216,0.009690654,8.4,7.62,206.1,335.5,-13.72476837,-97.98358501,11.81456196,2.211636541,23.42076748,0.706377044,43.05551536,0.062116755,2.294041988,0.144836986,0,0.02758503,0,3.291834624,210,256.2
Big,C aqifer,7/12/2018,Summer,19:30,18.3,0.34222216,0.009690654,8.4,7.62,206.1,335.5,-13.72476837,-97.98358501,11.81456196,2.286482009,23.35091616,0.702915026,43.66842448,0.063479562,2.3257266,0.08931316,0,0.079277383,0,3.320780492,210,256.2
Big,C aqifer,7/13/2018,Summer,7:15,15,0.375976494,0.010646471,8.4,7.6,209.3,335.8,-13.50515133,-97.39101945,10.65019117,2.297785178,23.40609338,0.736462009,43.66521328,0.069024067,2.138195859,0,0,0,0.033188437,3.203303346,200,244
Big,C aqifer,7/14/2018,Summer,7:30,18,0.437246738,0.012381451,8.4,8.4,,350.3,-13.58420731,-97.02749851,11.64615999,2.216651013,23.70642319,0.760138729,43.18459885,0.059165673,2.122374931,0.077037478,0,0.07676624,0,3.261593095,224,273.28
Big,C aqifer,7/14/2018,Summer,7:30,18,0.437246738,0.012381451,8.4,8.4,,350.3,-13.58420731,-97.02749851,11.64615999,2.240389578,23.27290906,0.671959984,43.08126079,0.058244131,2.622399344,0.090012787,0,0.161455716,0,3.307699335,224,273.28
Big,C aqifer,8/4/2018,Autumn,17:30,26,0.239555512,0.006783458,9.4,7.57,,347.3,-13.15600886,-99.7457801,5.502290747,2.654422645,23.82869834,2.31135845,43.20406582,0.085724243,1.995648432,0,0,0.209642199,0,3.050348122,187.7,228.994
Big,C aqifer,8/5/2018,Autumn,9:45,24,0.255062454,0.007222566,,,,,-13.55120878,-98.82949732,9.580172918,,,,,,,,,,,,,
Big,C aqifer,8/31/2018,Autumn,19:45,17,0.224315932,0.006351921,8.7,7.6,,341.5,-13.51643552,-97.34169338,10.78979078,2.69634209,23.44470005,2.426061854,42.12260359,0.077678142,1.937548284,0.205531703,0,0.216167871,0,3.111331864,,
Big,C aqifer,9/1/2018,Autumn,8:00,15,0.209611073,0.005935526,8.7,7.74,211.5,361.8,-13.2433363,-97.81435429,8.132336089,2.777410708,23.22498551,2.100920843,43.1190928,0.077369361,1.918344479,0.066406659,0,0.196588986,0,3.054467692,211.5,258.03
Big,C aqifer,9/2/2018,Autumn,8:30,14,0.239555512,0.006783458,8.6,7.69,203.7,349.5,-12.96919652,-97.13539239,6.618179792,2.649659803,22.18834003,2.035165564,41.95220696,0.078556288,2.065743463,0,0.135175696,0.207270803,0,3.05892839,180,219.6
Big,C aqifer,10/7/2018,Autumn,8:30,9,0.182473925,0.005167087,8,7.85,249.7,366.12,-13.64011166,-97.61703216,11.50386111,2.707075456,23.41511004,2.256069991,40.47288914,0.078832007,1.971898791,0,0.125321671,0.203969037,0,3.027720645,208,253.76
Big,C aqifer,10/13/2018,Autumn,9:52,13,0.194950775,0.005520392,8.9,7.6,,348.2,-14.30650554,-98.05582681,Site ,2.612814514,23.36765602,2.328597683,42.47487576,0.084515852,1.971435572,0.075945169,0,0.183800859,0,3.133495935,180,219.6
Big,C aqifer,10/14/2018,Autumn,9:42,7,0.218344868,0.006182839,8,7.66,182.4,371.6,-13.96888476,-97.6702132,14.08086485,2.651029043,23.30931783,2.424343087,44.04324126,0.078179875,1.904606536,0.081403072,0.13123166,0.183952062,,3.048091736,200,244
Big,C aqifer,11/9/2018,Winter,8:30,-0.3,0.244434851,0.006921626,8.3,7.61,193.3,330.9,-13.62338177,-97.67832018,11.30873398,,,,,,,,,,,,236,
Big,C aqifer,11/12/2018,Winter,8:30,2,0.27939231,0.007911511,7.4,7.57,234.5,337,-14.03266503,-97.87096657,14.39035371,,,,,,,,,,,,,
Big,C aqifer,12/15/2018,Winter,14:00,12,0.292091961,0.008271125,,,,,-14.38179612,-98.26494193,16.78942701,,,,,,,,,,,,200,
Big,C aqifer,12/16/2018,Winter,12:22,6.7,0.345898375,0.009794753,8.3,7.7,253.7,353.7,-13.90248875,-97.72575803,13.49415194,,,,,,,,,,,,196,
Mangum,C aqifer,12/18/2017,Winter,10:20,0,0.021999996,0.000622971,4.7,7.68,65,436,-13.64254077,-98.2331155,10.90721068,4.500285182,29.89161041,1.945139818,48.41999803,0.090028851,5.482878011,0,0.033010883,0.249338059,0.05511066,13.24711211,,
Mangum,C aqifer,4/7/2018,Spring,8:30,12,0.021522566,0.000609451,7.5,8.01,NA,374,-13.35963548,-97.18088565,9.69619821,3.587035948,28.06368373,0.883586256,49.92058193,0.098200118,5.367337245,0.096715042,0,0.110056133,0.18976795,13.5418648,296,361.12
Mangum,C aqifer,4/7/2018,Spring,8:30,12,0.021522566,0.000609451,7.5,8.01,NA,374,-13.29966305,-95.66226135,10.73504303,3.732087026,27.56388453,0.861174092,49.07569876,0.087070787,5.473251236,0.2294536,0,0.021555417,0,13.77208662,296,361.12
Mangum,C aqifer,4/19/2018,Spring,9:00,15,0.043049992,0.00121904,5,7.61,208,409,-12.89730946,-94.55395611,8.624519588,,,,,,,,,,,,NA,
Mangum,C aqifer,5/25/2018,Summer,13:25,23,0.073499987,0.002081288,11.59,6.82,202.3,411,-12.86093572,-95.91365573,6.973830037,3.341412362,26.41708435,0.708419558,48.30262269,0.07477325,4.71384966,0,0,0,0,10.43170984,220,268.4
Mangum,C aqifer,6/25/2018,Summer,19:00,23,0.010145648,0.000287293,8.53,7.16,180.3,490,-12.69457994,-93.443021,8.113618529,3.840839761,31.52131766,0.613134056,64.29540564,0.10394273,5.318729208,0.045106229,0,0.027342745,0,16.29163784,,
Mangum,C aqifer,7/14/2018,Summer,10:40,18.5,0.01520616,0.000430591,8.3,7.24,NA,479.9,-12.94348896,-94.68853659,8.859375061,3.650545455,31.57217222,0.602741159,57.18959296,0.087723599,5.538826457,0.093591191,0,0.028286114,0,16.11465376,281,342.82
Mangum,C aqifer,8/4/2018,Autumn,19:15,21,0.017054294,0.000482924,9.2,7.27,NA,484.7,-13.14138478,-94.52397274,10.60710553,4.66548894,35.90675716,2.428475048,61.28168266,0.112800264,4.550295111,0,0.14139887,0.260169754,0.199933437,12.91364241,268,326.96
Mangum,C aqifer,9/1/2018,Autumn,8:30,18,,,10.2,7.5,NA,532.3,-13.11011175,-93.63486344,11.24603056,4.668632399,35.36113595,2.167232749,57.40029979,0.108646245,5.087828327,0.13624618,0.144678215,0.116610156,0,15.37243158,236,287.92
Mangum,C aqifer,10/14/2018,Autumn,7:42,5,0.015399997,0.000436079,9.1,7.29,171.1,512.2,-13.13388584,-94.16567997,10.90540674,4.566995705,33.49637452,2.394781053,56.58255839,0.111928671,5.410973453,0.07408634,0.139040884,0.147393037,0,15.36893626,264,322.08
Mangum,C aqifer,11/9/2018,Winter,16:15,0,0.01352847,0.000383084,7.2,7.34,152.5,442.1,-13.193832,-94.18522799,11.365428,,,,,,,,,,,,240,
Mangum,C aqifer,12/15/2018,Winter,11:00,2,0.013474998,0.00038157,4.8,7.5,156.1,429.2,-13.08181282,-95.57706105,9.077441537,,,,,,,,,,,,222,
Nail,C aqifer,4/7/2018,Spring,13:30,14,0.00264206,7.48E-05,9.6,7.94,,363.5,-13.29966305,-95.66226135,10.73504303,3.13734347,25.77838647,0.638424497,47.38408469,0.060794313,3.867211697,0.195028547,0,0.108145094,0,8.702574571,290,353.8
Nail,C aqifer,5/25/2018,Summer,14:15,23,,,11.59,6.82,202.3,411,-12.86093572,-95.91365573,6.973830037,3.163719486,26.42334971,0.62173095,50.25498388,0.096844231,4.995992545,0.072216611,0,0.121925287,0,10.97078679,288,351.36
Nail,C aqifer,6/26/2018,Summer,9:00,19,0.002463605,6.98E-05,10.7,7.72,243.2,395.1,-12.89475725,-95.55128815,7.606769865,,,,,,,,,,,,288,
Nail,C aqifer,8/5/2018,Autumn,9:50,15,0.002306679,6.53E-05,13.1,7.75,<205.2,402.5,-13.0842984,-95.68818732,8.986199907,4.062926148,30.20858405,2.204041592,50.8128302,0.104189093,4.906796057,0.085880731,0.138831359,0.10603184,0,15.0904477,,
Nail,C aqifer,8/31/2018,Autumn,8:00,15,0.002574853,7.29E-05,13,8.21,,444.5,-13.30162045,-95.4410332,10.97193042,4.055978458,30.21715964,2.480901739,49.98655091,0.101867656,4.507353011,0.061612129,0.159845909,0.262339649,0,10.02228142,232,283.04
Nail,C aqifer,10/14/2018,Autumn,8:46,5,0.00189236,5.36E-05,7.3,7.87,184.6,445.6,-14.31399258,-95.87621641,18.63572425,4.066785346,28.97439747,2.549104479,49.55928836,0.103295283,4.251648909,0.096399466,0.184320119,0.196975065,0,9.913208561,232,283.04
Nail,C aqifer,11/9/2018,Winter,17:45,0,0.002300835,6.52E-05,3.7,7.78,164.2,390,-13.67860552,-95.44887279,13.97997141,,,,,,,,,,,,216,
Nail,C aqifer,12/15/2018,Winter,13:12,2,,,0.9,7.87,171.5,403.3,-12.89344676,-94.99705019,8.150523868,,,,,,,,,,,,246,
Robbers Roost,C aqifer,9/24/2017,Autumn,13:00,2,0.00211884,5.99989E-05,7.02,6.93,283.7,372,-13.19996144,-92.00384575,13.59584576,,,,,,,,,,,,,
Robbers Roost,C aqifer,11/14/2017,Winter,11:00,8,0,0,4.52,7.8,283.8,583,-13.44202825,-91.54445148,15.99177448,,,,,,,,,,,,,
Robbers Roost,C aqifer,8/6/2018,Autumn,15:45,,0.000594637,1.68382E-05,,,,,-12.24477032,-84.30865248,13.64951006,1.636202704,21.31401537,2.634133036,43.42729947,0.073634908,1.683448794,0,0,0.392369221,0.288415257,5.745094984,241,294.02
Robbers Roost,C aqifer,9/2/2018,Autumn,14:00,20,0.00291584,8.25674E-05,6.8,7.36,,402.1,-12.72709269,-87.0915592,14.72518232,1.298360313,22.28187625,2.168073624,49.25012419,0.080506132,1.190706857,0,0,0.166507049,0.282920515,4.198620981,200,244
Robbers Roost,C aqifer,10/14/2018,Autumn,12:51,12,0.004623296,0.000130917,6.8,7.27,197,393.3,-13.21424459,-91.59371455,14.12024219,1.143212265,22.69604769,2.177572083,49.67355591,0.08268455,0.906034218,0.065021169,0,0.099341002,0.266165807,2.398305794,240,292.8
Robbers Roost,C aqifer,11/9/2018,Winter,12:15,0.7,0.003724259,0.000105459,5.9,7.32,104.9,378.1,-12.22093428,-88.08242623,9.685047973,,,,,,,,,,,,,
Robbers Roost,C aqifer,11/11/2018,Winter,11:18,4,0.007273472,0.000205962,6,7.17,166.4,401.2,-13.2308088,-89.29834844,16.54812198,,,,,,,,,,,,,
Robbers Roost,C aqifer,12/15/2018,Winter,13:46,6.3,0.000161163,4.56364E-06,4.9,6.89,315.6,447.5,-12.64844521,-90.7809191,10.40664259,,,,,,,,,,,,,
Castle,C aqifer,11/12/2017,Winter,13:30,8,0.00389251,0.000110224,,,,,-13.39701534,-96.52719962,10.64892314,2.458023097,22.66640432,0.839015608,40.36594936,0.074202659,2.33006599,0.009571764,0,0.150935923,0.077110887,3.833793499,,
Castle,C aqifer,12/18/2017,Winter,9:00,3,0.00394477,0.000111703,9,7.75,67.5,371.9,-13.479375,-96.90904535,10.92595464,2.515129021,23.65905813,0.903690187,40.7335328,0.068415101,2.288510076,0.020934383,0,0.110678,0.042389752,3.851276762,,
Castle,C aqifer,4/8/2018,Spring,9:00,11,0.003781365,0.000107076,8.4,7.65,,326.1,-13.168492,-96.76305339,8.584882627,2.348258824,22.97777597,0.389369412,43.67793029,0.083974558,2.310039539,0,0,0,0,3.86963415,260,317.2
Castle,C aqifer,5/25/2018,Summer,10:00,18,0.003997878,0.000113207,8.53,6.89,,251,-12.95724331,-97.49907109,6.158875382,2.304031873,22.0829811,0.536939602,44.20743259,0.064684218,2.346289499,0,0,0.062106143,0,3.899572611,220,268.4
Castle,C aqifer,6/25/2018,Summer,18:30,20,0.004254737,0.000120481,9.6,7.72,,398.8,-13.45226176,-96.53517572,11.08291834,2.2864,22.33582564,0.562413571,41.52070445,0.080729264,2.575043837,0.252315999,0,0.029670178,0,4.272582969,242,295.24
Castle,C aqifer,7/12/2018,Summer,17:30,15,0.004769753,0.000135064,9.7,7.59,,363.7,-13.27599211,-97.3177021,8.890234751,2.281400991,23.16693179,0.976599722,42.99305282,0.084216363,2.678099042,0,0,0,0,4.790406244,204,248.88
Castle,C aqifer,8/4/2018,Autumn,17:00,24,0.005141496,0.000145591,10.07,7.22,226.2,525,-14.01054306,-97.73344236,14.35090212,2.609478522,25.06276188,1.875142574,45.72234812,0.086831866,2.205005569,0,0.128562419,0.241514491,0.181261224,3.98213196,230,280.6
Castle,C aqifer,8/31/2018,Autumn,18:00,21,,,10.3,7.71,,369,-14.05107443,-98.38308952,14.02550593,3.165690555,25.2301111,2.543128518,42.95784321,0.088203836,2.144775071,0.804753273,0,0.234839017,0,3.856034689,240,292.8
Castle,C aqifer,10/6/2018,Autumn,17:45,7.5,0.005389906,0.000152625,8.7,7.63,356.5,400.5,-13.6524656,-97.34841397,11.87131082,3.082087733,24.85967346,2.449935427,45.33314226,0.093088764,2.197949329,0,0,0.159597996,0,3.953839786,212,258.64
Castle,C aqifer,10/14/2018,Autumn,10:14,8.3,0.004693638,0.000132909,9.2,7.57,191.4,394.1,-13.73071081,-99.24490348,10.60078303,2.702388649,25.139902,2.266686933,42.81322562,0.088057805,2.191005463,0.062919511,0,0.162031731,0,3.920608676,188,229.36
Castle,C aqifer,11/10/2018,Winter,10:25,6.4,0.004451891,0.000126064,6.7,7.25,272.5,386,-12.8991259,-96.6797819,6.513225287,,,,,,,,,,,,,
Castle,C aqifer,12/15/2018,Winter,13:30,15,0.001533184,4.34E-05,9.9,7.35,180.6,385.6,-13.46721407,-97.92709168,9.810620893,,,,,,,,,,,,,
North Canyon,C aqifer,11/11/2017,Winter,10:00,10,0.013474998,0.00038157,,,,,-13.59436338,-96.78613345,11.9687736,1.346630242,21.81355623,0.246098546,36.72081599,0.058902355,1.009287374,0.00726285,0,0.053495201,0.050405693,1.985118471,,
North Canyon,C aqifer,12/19/2017,Winter,10:00,0,,,4,8.15,76.5,343,-13.52338172,-97.12577944,11.06127431,1.157637131,24.03749161,0.573313691,42.550716,0.052428879,0.981709405,0,0,0.139596767,0.037517644,2.0290962,,
North Canyon,C aqifer,6/28/2018,Summer,10:40,21,0.007026628,0.000198972,6.33,7.78,190.9,336,-13.42491748,-96.80623733,10.59310247,0.927612406,19.46595626,0.17281002,37.25224299,0.065970438,1.049305854,0,0,0,0,2.241162318,,
North Canyon,C aqifer,8/6/2018,Autumn,15:04,23,,,,,,,-14.35826587,-98.1391909,16.72693605,2.278322895,24.35530315,2.323310894,39.69519931,0.07503497,0.926366267,0,0,0.058189403,0,2.085406015,210,256.2
North Canyon,C aqifer,9/1/2018,Autumn,14:00,22,0.025447532,0.000720594,6.7,8.32,,350.8,-13.19913744,-96.76571604,8.827383486,1.702770918,24.63503986,2.060332868,45.98066002,0.083406271,1.278427652,0,0,0.130676894,0.201732139,1.888862087,208,253.76
North Canyon,C aqifer,9/2/2018,Autumn,10:30,,,,,,,,-13.96066198,-96.2253549,15.45994096,1.672429164,23.97707677,1.876365305,40.36409944,0.071756461,0.963150524,0,0,0.11117047,0.170684702,2.089525585,200,244
North Canyon,C aqifer,10/6/2018,Autumn,13:00,8,0.291889464,0.008265391,5.6,8.74,176.4,349.9,-13.79923238,-97.14525561,13.24860343,1.404461296,24.22001792,1.485168053,39.43100053,0.07778117,1.036387751,0,0,0,0,2.124210195,,
North Canyon,C aqifer,10/14/2018,Autumn,12:00,4.3,0.117104145,0.003316021,5,8.35,172.2,341.7,-14.56586185,-97.66497401,18.86192077,1.404461296,24.22001792,1.485168053,39.43100053,0.073084072,0.987677373,0,0,0,0,2.121296602,198,241.56
North Canyon,C aqifer,11/11/2018,Winter,10:00,-5,0.101062482,0.002861771,3.9,8.37,207.6,317.4,-14.00239191,-97.45396958,14.56516568,,,,,,,,,,,,,
North Canyon,C aqifer,12/16/2018,Winter,14:08,1,0.100260398,0.002839059,2.8,8.45,184.2,315.5,-13.80141028,-97.17015079,13.24113142,,,,,,,,,,,,,
